Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Austria,1990-01-01,26010.22795,2910.4948611111113,2090.5469575,-6035.897165,1026.43728,0.0,13173.30153666667,0.0
Austria,1991-01-01,27858.191082499998,2916.36989,2066.031855,-8387.1302725,1043.59364,0.0,12952.230468888889,0.0
Austria,1992-01-01,25552.4582825,2560.999315555555,1985.7939575000003,-5874.07024,1027.9225725,0.0,12646.379127777776,0.0
Austria,1993-01-01,25735.478955,2545.540383333334,1980.6864125000004,-6021.9265374999995,1021.1778925000001,0.0,12641.28115111111,0.0
Austria,1994-01-01,25591.461140000003,2714.4736611111107,1974.4408250000001,-5957.92843,995.6528675,0.0,12760.529840000003,0.0
Austria,1995-01-01,26856.179892499997,2903.626717777778,2006.47217,-6611.30171,950.9517025,0.0,13215.760964444444,0.0
Austria,1996-01-01,28889.9195475,2780.0503877777774,1976.194445,-5316.0258075,901.9758375,0.0,14536.523285555555,0.0
Austria,1997-01-01,28204.003829999998,3039.465063333334,1968.0105125,-9571.13546,863.61833,0.0,12579.241603333334,0.0
Austria,1998-01-01,28127.165579999997,2957.064282222222,1960.7012574999999,-8634.3573825,832.4685975,0.0,12861.94341777778,0.0
Austria,1999-01-01,27557.363785,2905.9882777777775,1931.6697499999998,-9786.287922500002,801.4078675000001,0.0,12018.945376666665,0.0
Austria,2000-01-01,27345.020817499997,3116.955551111111,1910.0578450000003,-8235.228824999998,772.1771600000001,0.0,12802.300882222224,0.0
Austria,2001-01-01,29415.8881675,3108.652146666667,1896.9221749999997,-9656.3213925,746.9339325000001,0.0,13065.728984444446,0.0
Austria,2002-01-01,30035.826562500002,3250.203486666667,1869.6236350000001,-7152.762849999999,746.25779,0.0,14583.067992222224,0.0
Austria,2003-01-01,32853.36266,3274.7494533333333,1832.7204900000002,-2456.3426725,747.1182775000001,0.0,17931.13112222222,0.0
Austria,2004-01-01,32866.8367625,3237.6906022222224,1828.8730725,-4614.8372150000005,763.4787,0.0,16946.29118888888,0.0
Austria,2005-01-01,33204.638470000005,3421.9223533333334,1813.0116074999999,-5349.75355,727.31929,0.0,16930.90716333333,0.0
Austria,2006-01-01,31729.015437500006,3566.8662999999997,1813.67558,-2618.1187775000003,695.63409,0.0,17620.291333333334,0.0
Austria,2007-01-01,30082.938267499998,3718.9035444444444,1830.523935,-2737.71745,661.8722775000001,0.0,16980.06666888889,0.0
Austria,2008-01-01,29615.92299,3786.052293333333,1866.3926025,-2117.9798175,632.1954625,0.0,17117.843956666664,0.0
Austria,2009-01-01,28070.029809999996,3054.9144022222217,1877.2071725,-2263.6830325,593.5831549999999,0.0,15622.530896666663,0.0
Austria,2010-01-01,29407.8390175,3510.843518888889,1840.6520274999998,-2927.8227175,560.1349175,0.0,16346.756074444442,0.0
Austria,2011-01-01,28255.0973675,3522.2297277777775,1859.779445,-3041.62347,530.1162475,0.0,15790.393987777776,0.0
Austria,2012-01-01,27145.443,3433.4058255555556,1848.668955,-2713.0918924999996,504.0355425,0.0,15337.874983333333,0.0
Austria,2013-01-01,27269.633807500002,3504.190494444445,1845.1701975000003,-2237.3277125,473.30299749999995,0.0,15660.092403333336,0.0
Austria,2014-01-01,25393.54306,3532.3119933333332,1881.977905,-2340.6220049999997,446.47164,0.0,14812.921147777777,0.0
Austria,2015-01-01,26218.408745,3660.6368500000003,1887.6868225,-2259.1941325,424.70398,0.0,15336.905921111107,0.0
Austria,2016-01-01,26777.46876,3616.996516666667,1918.01452,-2175.0452799999994,403.71581499999996,0.0,15583.287100000003,0.0
Austria,2017-01-01,27691.42902,3800.5020211111105,1906.6452825,-2465.4153225,384.74668249999996,0.0,16030.460093333337,0.0
Austria,2018-01-01,27050.2142275,3444.050148888889,1884.867285,-2615.6258100000005,367.1393875,0.0,15304.759076666662,0.0
Belgium,1990-01-01,51371.7051675,5341.189182222222,3176.910645,-1621.66996,1197.67252,0.0,29396.575126666667,0.0
Belgium,1991-01-01,53229.358694999995,5136.501917777778,3145.2874075,-1389.40806,1237.32768,0.0,30124.30890666666,0.0
Belgium,1992-01-01,52453.787325,5417.525528888889,3142.06944,-1300.2546149999998,1271.5435850000001,0.0,30114.03474555556,0.0
Belgium,1993-01-01,52382.4764575,5207.916386666667,3174.7123174999997,-1310.1451900000002,1228.3317675,0.0,29863.638765555555,0.0
Belgium,1994-01-01,53266.0771575,5810.024734444445,3142.5065325,-1183.958915,1220.2563074999998,0.0,30896.638549999992,0.0
Belgium,1995-01-01,53422.2230975,6133.759451111111,3196.9210675000004,-1300.9695075,1210.1935399999998,0.0,31257.478651111112,0.0
Belgium,1996-01-01,55584.149105000004,5982.720449999999,3171.1255300000003,-1342.3967074999998,1186.89434,0.0,32027.063680000003,0.0
Belgium,1997-01-01,52693.31,5417.116331111111,3169.8727725,-1173.019745,1202.0912675000002,0.0,30258.118239999996,0.0
Belgium,1998-01-01,54893.2836925,5662.148704444445,3119.40004,-1451.3192324999998,1158.389945,0.0,31315.37290111111,0.0
Belgium,1999-01-01,52244.24597999999,5485.684740000001,3167.2577825,-1071.777255,1092.1771575000002,0.0,30122.08637,0.0
Belgium,2000-01-01,52664.665452500005,5766.960244444445,2946.6992824999998,-889.29702,1074.413495,0.0,30565.396334444446,0.0
Belgium,2001-01-01,52897.521537500004,5476.73215,2889.7831225,-863.1922900000001,963.302805,0.0,30315.583336666674,0.0
Belgium,2002-01-01,53080.0783125,5481.764984444444,2855.76013,-870.444915,1016.8475900000001,0.0,30407.205478888893,0.0
Belgium,2003-01-01,53635.1687575,5532.155614444445,2757.4188974999997,-849.7063600000001,938.25112,0.0,30634.881133333332,0.0
Belgium,2004-01-01,53544.302437499995,5743.049639999999,2745.5178599999995,-806.2627299999999,959.840195,0.0,30829.00420222222,0.0
Belgium,2005-01-01,52496.33145,5630.400383333332,2692.7158775,-801.03483,923.6616675,0.0,30213.366678888895,0.0
Belgium,2006-01-01,51616.112447499996,5529.92038,2632.9657775,-796.4708149999999,934.0410775,0.0,29701.76415333333,0.0
Belgium,2007-01-01,50534.8163275,5248.516218888888,2673.5044349999994,-695.0776875,952.3645999999999,0.0,29011.008517777784,0.0
Belgium,2008-01-01,50331.7768075,5383.646993333333,2639.6625525000004,-570.5744125,888.9878899999999,0.0,29068.026034444447,0.0
Belgium,2009-01-01,47008.6373475,4063.338213333334,2670.3438674999998,-584.8921825,819.3215624999999,0.0,26247.076254444448,0.0
Belgium,2010-01-01,49308.02075,4611.892921111111,2659.4903124999996,-373.97162499999996,812.5973875,0.0,27903.509286666675,0.0
Belgium,2011-01-01,44549.8061325,4601.811737777778,2631.09524,-352.6994775,720.6565149999999,0.0,25734.637698888888,0.0
Belgium,2012-01-01,44136.0721225,4207.811610000001,2575.1545275,-381.580755,696.9227,0.0,25108.508762222224,0.0
Belgium,2013-01-01,43991.3011675,4375.741668888888,2580.2349,-640.9278425,549.495,0.0,25033.56532555555,0.0
Belgium,2014-01-01,41021.44657249999,4435.818114444443,2635.012515,-631.1349825,482.03530250000006,0.0,23772.42229777778,0.0
Belgium,2015-01-01,43028.00842,4491.2120700000005,2636.8535575,-656.7645525,484.837025,0.0,24710.294046666666,0.0
Belgium,2016-01-01,42289.190307499994,4607.800615555554,2604.9001125000004,-537.90605,444.48873,0.0,24519.21088,0.0
Belgium,2017-01-01,42155.9772075,4604.5762911111115,2635.4693675000003,-536.4077325000001,457.48875499999997,0.0,24476.81078,0.0
Belgium,2018-01-01,42345.885700000006,4689.925436666666,2599.2804675,-532.4702425,425.88621750000004,0.0,24618.18416777778,0.0
Bulgaria,1990-01-01,34911.5997275,2050.6009977777776,3188.8916,-9721.5165725,2076.9565175000002,0.0,15586.570451111113,0.0
Bulgaria,1991-01-01,27900.930240000005,1618.1094555555558,2763.6489325000007,-9719.1486275,1996.75284,0.0,11814.635403333334,0.0
Bulgaria,1992-01-01,26378.5412325,1360.9274166666667,2405.640799999999,-9441.99637,1990.8329025,0.0,10842.269002222223,0.0
Bulgaria,1993-01-01,26514.351895,1437.746222222222,2059.9789425,-9547.184020000002,1936.8736000000004,0.0,10755.08863,0.0
Bulgaria,1994-01-01,24943.63147,1767.16435,1793.1778925,-9563.0059225,1707.7288825,0.0,10158.956491111114,0.0
